"STi","T2C","STj","COUNT","YEAR"
"ALABAMA","Under 3 Months","ALABAMA","178","2013"
"ALABAMA","Under 3 Months","ALASKA","0","2013"
"ALABAMA","Under 3 Months","ARIZONA","0","2013"
"ALABAMA","Under 3 Months","ARKANSAS","0","2013"
"ALABAMA","Under 3 Months","CALIFORNIA","4","2013"
"ALABAMA","Under 3 Months","COLORADO","0","2013"
"ALABAMA","Under 3 Months","CONNECTICUT","1","2013"
"ALABAMA","Under 3 Months","DELAWARE","0","2013"
"ALABAMA","Under 3 Months","DISTRICT OF COLUMBIA","2","2013"
"ALABAMA","Under 3 Months","FLORIDA","6","2013"
"ALABAMA","Under 3 Months","GEORGIA","6","2013"
"ALABAMA","Under 3 Months","GUAM","0","2013"
"ALABAMA","Under 3 Months","HAWAII","0","2013"
"ALABAMA","Under 3 Months","IDAHO","0","2013"
"ALABAMA","Under 3 Months","ILLINOIS","0","2013"
"ALABAMA","Under 3 Months","INDIANA","0","2013"
"ALABAMA","Under 3 Months","IOWA","0","2013"
"ALABAMA","Under 3 Months","KANSAS","0","2013"
"ALABAMA","Under 3 Months","KENTUCKY","1","2013"
"ALABAMA","Under 3 Months","LOUISIANA","1","2013"
"ALABAMA","Under 3 Months","MAINE","0","2013"
"ALABAMA","Under 3 Months","MARYLAND","0","2013"
"ALABAMA","Under 3 Months","MASSACHUSETTS","0","2013"
"ALABAMA","Under 3 Months","MICHIGAN","1","2013"
"ALABAMA","Under 3 Months","MINNESOTA","0","2013"
"ALABAMA","Under 3 Months","MISSISSIPPI","4","2013"
"ALABAMA","Under 3 Months","MISSOURI","0","2013"
"ALABAMA","Under 3 Months","MONTANA","0","2013"
"ALABAMA","Under 3 Months","NEBRASKA","0","2013"
"ALABAMA","Under 3 Months","NEVADA","0","2013"
"ALABAMA","Under 3 Months","NEW HAMPSHIRE","0","2013"
"ALABAMA","Under 3 Months","NEW JERSEY","2","2013"
"ALABAMA","Under 3 Months","NEW MEXICO","0","2013"
