"STi","T2C","STj","COUNT","YEAR"
"ALABAMA","Under 3 Months","ALABAMA","245","2014"
"ALABAMA","Under 3 Months","ALASKA","0","2014"
"ALABAMA","Under 3 Months","ARIZONA","1","2014"
"ALABAMA","Under 3 Months","ARKANSAS","0","2014"
"ALABAMA","Under 3 Months","CALIFORNIA","2","2014"
"ALABAMA","Under 3 Months","COLORADO","0","2014"
"ALABAMA","Under 3 Months","CONNECTICUT","1","2014"
"ALABAMA","Under 3 Months","DELAWARE","0","2014"
"ALABAMA","Under 3 Months","DISTRICT OF COLUMBIA","0","2014"
"ALABAMA","Under 3 Months","FLORIDA","10","2014"
"ALABAMA","Under 3 Months","GEORGIA","4","2014"
"ALABAMA","Under 3 Months","GUAM & NORTHERN MARIANA ISLANDS","0","2014"
"ALABAMA","Under 3 Months","HAWAII","0","2014"
"ALABAMA","Under 3 Months","IDAHO","0","2014"
"ALABAMA","Under 3 Months","ILLINOIS","1","2014"
"ALABAMA","Under 3 Months","INDIANA","0","2014"
"ALABAMA","Under 3 Months","IOWA","0","2014"
"ALABAMA","Under 3 Months","KANSAS","0","2014"
"ALABAMA","Under 3 Months","KENTUCKY","0","2014"
"ALABAMA","Under 3 Months","LOUISIANA","0","2014"
"ALABAMA","Under 3 Months","MAINE","0","2014"
"ALABAMA","Under 3 Months","MARYLAND","3","2014"
"ALABAMA","Under 3 Months","MASSACHUSETTS","0","2014"
"ALABAMA","Under 3 Months","MICHIGAN","0","2014"
"ALABAMA","Under 3 Months","MINNESOTA","0","2014"
"ALABAMA","Under 3 Months","MISSISSIPPI","2","2014"
"ALABAMA","Under 3 Months","MISSOURI","0","2014"
"ALABAMA","Under 3 Months","MONTANA","0","2014"
"ALABAMA","Under 3 Months","NEBRASKA","0","2014"
"ALABAMA","Under 3 Months","NEVADA","1","2014"
"ALABAMA","Under 3 Months","NEW HAMPSHIRE","0","2014"
"ALABAMA","Under 3 Months","NEW JERSEY","1","2014"
"ALABAMA","Under 3 Months","NEW MEXICO","0","2014"
"ALABAMA","Under 3 Months","NEW YORK","1","2014"
"ALABAMA","Under 3 Months","NORTH CAROLINA","2","2014"
"ALABAMA","Under 3 Months","NORTH DAKOTA","0","2014"
"ALABAMA","Under 3 Months","OHIO","1","2014"
"ALABAMA","Under 3 Months","OKLAHOMA","0","2014"
"ALABAMA","Under 3 Months","OREGON","0","2014"
"ALABAMA","Under 3 Months","PENNSYLVANIA","0","2014"
"ALABAMA","Under 3 Months","PUERTO RICO","0","2014"
"ALABAMA","Under 3 Months","RHODE ISLAND","0","2014"
"ALABAMA","Under 3 Months","SOUTH CAROLINA","0","2014"
