"STi","T2C","STj","COUNT","YEAR"
"ALABAMA","Under 3 Months","ALABAMA","450","2018"
"ALABAMA","Under 3 Months","ALASKA","0","2018"
"ALABAMA","Under 3 Months","ARIZONA","0","2018"
"ALABAMA","Under 3 Months","ARKANSAS","1","2018"
"ALABAMA","Under 3 Months","CALIFORNIA","3","2018"
"ALABAMA","Under 3 Months","COLORADO","0","2018"
"ALABAMA","Under 3 Months","CONNECTICUT","0","2018"
"ALABAMA","Under 3 Months","DELAWARE","1","2018"
"ALABAMA","Under 3 Months","DISTRICT OF COLUMBIA","0","2018"
"ALABAMA","Under 3 Months","FLORIDA","13","2018"
"ALABAMA","Under 3 Months","GEORGIA","20","2018"
"ALABAMA","Under 3 Months","GUAM","0","2018"
"ALABAMA","Under 3 Months","HAWAII","0","2018"
"ALABAMA","Under 3 Months","IDAHO","0","2018"
"ALABAMA","Under 3 Months","ILLINOIS","4","2018"
"ALABAMA","Under 3 Months","INDIANA","1","2018"
"ALABAMA","Under 3 Months","IOWA","0","2018"
"ALABAMA","Under 3 Months","KANSAS","1","2018"
"ALABAMA","Under 3 Months","KENTUCKY","0","2018"
"ALABAMA","Under 3 Months","LOUISIANA","3","2018"
"ALABAMA","Under 3 Months","MAINE","0","2018"
"ALABAMA","Under 3 Months","MARYLAND","2","2018"
"ALABAMA","Under 3 Months","MASSACHUSETTS","0","2018"
"ALABAMA","Under 3 Months","MICHIGAN","1","2018"
"ALABAMA","Under 3 Months","MINNESOTA","0","2018"
"ALABAMA","Under 3 Months","MISSISSIPPI","4","2018"
"ALABAMA","Under 3 Months","MISSOURI","1","2018"
"ALABAMA","Under 3 Months","MONTANA","0","2018"
"ALABAMA","Under 3 Months","NEBRASKA","0","2018"
"ALABAMA","Under 3 Months","NEVADA","0","2018"
"ALABAMA","Under 3 Months","NEW HAMPSHIRE","0","2018"
"ALABAMA","Under 3 Months","NEW JERSEY","0","2018"
"ALABAMA","Under 3 Months","NEW MEXICO","0","2018"
"ALABAMA","Under 3 Months","NEW YORK","6","2018"
"ALABAMA","Under 3 Months","NORTH CAROLINA","3","2018"
"ALABAMA","Under 3 Months","NORTH DAKOTA","0","2018"
"ALABAMA","Under 3 Months","OHIO","0","2018"
"ALABAMA","Under 3 Months","OKLAHOMA","0","2018"
"ALABAMA","Under 3 Months","OREGON","0","2018"
"ALABAMA","Under 3 Months","PENNSYLVANIA","3","2018"
"ALABAMA","Under 3 Months","PUERTO RICO","0","2018"
"ALABAMA","Under 3 Months","RHODE ISLAND","0","2018"
"ALABAMA","Under 3 Months","SOUTH CAROLINA","3","2018"
"ALABAMA","Under 3 Months","SOUTH DAKOTA","0","2018"
"ALABAMA","Under 3 Months","TENNESSEE","2","2018"
"ALABAMA","Under 3 Months","TEXAS","3","2018"
"ALABAMA","Under 3 Months","US VIRGIN ISLANDS","0","2018"
