"STi","T2C","STj","COUNT","YEAR"
"ALABAMA","Under 3 Months","ALABAMA","245","2015"
"ALABAMA","Under 3 Months","ALASKA","0","2015"
"ALABAMA","Under 3 Months","ARIZONA","0","2015"
"ALABAMA","Under 3 Months","ARKANSAS","0","2015"
"ALABAMA","Under 3 Months","CALIFORNIA","1","2015"
"ALABAMA","Under 3 Months","COLORADO","0","2015"
"ALABAMA","Under 3 Months","CONNECTICUT","0","2015"
"ALABAMA","Under 3 Months","DELAWARE","0","2015"
"ALABAMA","Under 3 Months","DISTRICT OF COLUMBIA","0","2015"
"ALABAMA","Under 3 Months","FLORIDA","18","2015"
"ALABAMA","Under 3 Months","GEORGIA","10","2015"
"ALABAMA","Under 3 Months","GUAM & NORTHERN MARIANA ISLANDS","0","2015"
"ALABAMA","Under 3 Months","HAWAII","0","2015"
"ALABAMA","Under 3 Months","IDAHO","0","2015"
"ALABAMA","Under 3 Months","ILLINOIS","2","2015"
"ALABAMA","Under 3 Months","INDIANA","0","2015"
"ALABAMA","Under 3 Months","IOWA","0","2015"
"ALABAMA","Under 3 Months","KANSAS","0","2015"
"ALABAMA","Under 3 Months","KENTUCKY","1","2015"
"ALABAMA","Under 3 Months","LOUISIANA","3","2015"
"ALABAMA","Under 3 Months","MAINE","0","2015"
"ALABAMA","Under 3 Months","MARYLAND","1","2015"
"ALABAMA","Under 3 Months","MASSACHUSETTS","0","2015"
"ALABAMA","Under 3 Months","MICHIGAN","2","2015"
"ALABAMA","Under 3 Months","MINNESOTA","0","2015"
"ALABAMA","Under 3 Months","MISSISSIPPI","1","2015"
"ALABAMA","Under 3 Months","MISSOURI","0","2015"
"ALABAMA","Under 3 Months","MONTANA","0","2015"
"ALABAMA","Under 3 Months","NEBRASKA","1","2015"
"ALABAMA","Under 3 Months","NEVADA","0","2015"
"ALABAMA","Under 3 Months","NEW HAMPSHIRE","0","2015"
"ALABAMA","Under 3 Months","NEW JERSEY","0","2015"
"ALABAMA","Under 3 Months","NEW MEXICO","0","2015"
"ALABAMA","Under 3 Months","NEW YORK","6","2015"
"ALABAMA","Under 3 Months","NORTH CAROLINA","1","2015"
"ALABAMA","Under 3 Months","NORTH DAKOTA","0","2015"
"ALABAMA","Under 3 Months","OHIO","0","2015"
"ALABAMA","Under 3 Months","OKLAHOMA","0","2015"
"ALABAMA","Under 3 Months","OREGON","0","2015"
"ALABAMA","Under 3 Months","PENNSYLVANIA","0","2015"
"ALABAMA","Under 3 Months","PUERTO RICO","0","2015"
"ALABAMA","Under 3 Months","RHODE ISLAND","0","2015"
"ALABAMA","Under 3 Months","SOUTH CAROLINA","2","2015"
"ALABAMA","Under 3 Months","SOUTH DAKOTA","0","2015"
"ALABAMA","Under 3 Months","TENNESSEE","2","2015"
"ALABAMA","Under 3 Months","TEXAS","2","2015"
"ALABAMA","Under 3 Months","US VIRGIN ISLANDS","0","2015"
"ALABAMA","Under 3 Months","UTAH","0","2015"
"ALABAMA","Under 3 Months","VERMONT","0","2015"
"ALABAMA","Under 3 Months","VIRGINIA","1","2015"
"ALABAMA","Under 3 Months","WASHINGTON","0","2015"
"ALABAMA","Under 3 Months","WEST VIRGINIA","0","2015"
"ALABAMA","Under 3 Months","WISCONSIN","0","2015"
"ALABAMA","Under 3 Months","WYOMING","0","2015"
"ALABAMA","Under 3 Months","TOTAL","299","2015"
"ALABAMA","3 Months to Under 7 Months","ALABAMA","220","2015"
"ALABAMA","3 Months to Under 7 Months","ALASKA","0","2015"
"ALABAMA","3 Months to Under 7 Months","ARIZONA","0","2015"
"ALABAMA","3 Months to Under 7 Months","ARKANSAS","0","2015"
"ALABAMA","3 Months to Under 7 Months","CALIFORNIA","1","2015"
"ALABAMA","3 Months to Under 7 Months","COLORADO","1","2015"
"ALABAMA","3 Months to Under 7 Months","CONNECTICUT","0","2015"
"ALABAMA","3 Months to Under 7 Months","DELAWARE","0","2015"
"ALABAMA","3 Months to Under 7 Months","DISTRICT OF COLUMBIA","0","2015"
"ALABAMA","3 Months to Under 7 Months","FLORIDA","8","2015"
"ALABAMA","3 Months to Under 7 Months","GEORGIA","11","2015"
"ALABAMA","3 Months to Under 7 Months","GUAM & NORTHERN MARIANA ISLANDS","0","2015"
"ALABAMA","3 Months to Under 7 Months","HAWAII","0","2015"
"ALABAMA","3 Months to Under 7 Months","IDAHO","0","2015"
"ALABAMA","3 Months to Under 7 Months","ILLINOIS","1","2015"
"ALABAMA","3 Months to Under 7 Months","INDIANA","0","2015"
"ALABAMA","3 Months to Under 7 Months","IOWA","0","2015"
"ALABAMA","3 Months to Under 7 Months","KANSAS","0","2015"
"ALABAMA","3 Months to Under 7 Months","KENTUCKY","0","2015"
"ALABAMA","3 Months to Under 7 Months","LOUISIANA","3","2015"
"ALABAMA","3 Months to Under 7 Months","MAINE","0","2015"
"ALABAMA","3 Months to Under 7 Months","MARYLAND","0","2015"
"ALABAMA","3 Months to Under 7 Months","MASSACHUSETTS","0","2015"
"ALABAMA","3 Months to Under 7 Months","MICHIGAN","1","2015"
"ALABAMA","3 Months to Under 7 Months","MINNESOTA","0","2015"
"ALABAMA","3 Months to Under 7 Months","MISSISSIPPI","2","2015"
"ALABAMA","3 Months to Under 7 Months","MISSOURI","1","2015"
"ALABAMA","3 Months to Under 7 Months","MONTANA","0","2015"
"ALABAMA","3 Months to Under 7 Months","NEBRASKA","0","2015"
"ALABAMA","3 Months to Under 7 Months","NEVADA","0","2015"
"ALABAMA","3 Months to Under 7 Months","NEW HAMPSHIRE","0","2015"
"ALABAMA","3 Months to Under 7 Months","NEW JERSEY","0","2015"
"ALABAMA","3 Months to Under 7 Months","NEW MEXICO","0","2015"
"ALABAMA","3 Months to Under 7 Months","NEW YORK","2","2015"
"ALABAMA","3 Months to Under 7 Months","NORTH CAROLINA","0","2015"
"ALABAMA","3 Months to Under 7 Months","NORTH DAKOTA","0","2015"
"ALABAMA","3 Months to Under 7 Months","OHIO","0","2015"
"ALABAMA","3 Months to Under 7 Months","OKLAHOMA","0","2015"
"ALABAMA","3 Months to Under 7 Months","OREGON","0","2015"
"ALABAMA","3 Months to Under 7 Months","PENNSYLVANIA","0","2015"
"ALABAMA","3 Months to Under 7 Months","PUERTO RICO","0","2015"
"ALABAMA","3 Months to Under 7 Months","RHODE ISLAND","0","2015"
"ALABAMA","3 Months to Under 7 Months","SOUTH CAROLINA","0","2015"
"ALABAMA","3 Months to Under 7 Months","SOUTH DAKOTA","0","2015"
"ALABAMA","3 Months to Under 7 Months","TENNESSEE","5","2015"
"ALABAMA","3 Months to Under 7 Months","TEXAS","0","2015"
"ALABAMA","3 Months to Under 7 Months","US VIRGIN ISLANDS","0","2015"
"ALABAMA","3 Months to Under 7 Months","UTAH","0","2015"
"ALABAMA","3 Months to Under 7 Months","VERMONT","0","2015"
"ALABAMA","3 Months to Under 7 Months","VIRGINIA","1","2015"
"ALABAMA","3 Months to Under 7 Months","WASHINGTON","0","2015"
"ALABAMA","3 Months to Under 7 Months","WEST VIRGINIA","0","2015"
"ALABAMA","3 Months to Under 7 Months","WISCONSIN","0","2015"
"ALABAMA","3 Months to Under 7 Months","WYOMING","0","2015"
"ALABAMA","3 Months to Under 7 Months","TOTAL","257","2015"
"ALABAMA","7 Months to Under 1 Year","ALABAMA","180","2015"
"ALABAMA","7 Months to Under 1 Year","ALASKA","1","2015"
"ALABAMA","7 Months to Under 1 Year","ARIZONA","0","2015"
"ALABAMA","7 Months to Under 1 Year","ARKANSAS","0","2015"
"ALABAMA","7 Months to Under 1 Year","CALIFORNIA","1","2015"
"ALABAMA","7 Months to Under 1 Year","COLORADO","1","2015"
"ALABAMA","7 Months to Under 1 Year","CONNECTICUT","0","2015"
"ALABAMA","7 Months to Under 1 Year","DELAWARE","0","2015"
"ALABAMA","7 Months to Under 1 Year","DISTRICT OF COLUMBIA","0","2015"
"ALABAMA","7 Months to Under 1 Year","FLORIDA","13","2015"
"ALABAMA","7 Months to Under 1 Year","GEORGIA","10","2015"
"ALABAMA","7 Months to Under 1 Year","GUAM & NORTHERN MARIANA ISLANDS","0","2015"
"ALABAMA","7 Months to Under 1 Year","HAWAII","0","2015"
"ALABAMA","7 Months to Under 1 Year","IDAHO","0","2015"
"ALABAMA","7 Months to Under 1 Year","ILLINOIS","5","2015"
"ALABAMA","7 Months to Under 1 Year","INDIANA","0","2015"
"ALABAMA","7 Months to Under 1 Year","IOWA","0","2015"
"ALABAMA","7 Months to Under 1 Year","KANSAS","0","2015"
"ALABAMA","7 Months to Under 1 Year","KENTUCKY","1","2015"
"ALABAMA","7 Months to Under 1 Year","LOUISIANA","5","2015"
"ALABAMA","7 Months to Under 1 Year","MAINE","0","2015"
"ALABAMA","7 Months to Under 1 Year","MARYLAND","0","2015"
"ALABAMA","7 Months to Under 1 Year","MASSACHUSETTS","0","2015"
"ALABAMA","7 Months to Under 1 Year","MICHIGAN","0","2015"
"ALABAMA","7 Months to Under 1 Year","MINNESOTA","0","2015"
"ALABAMA","7 Months to Under 1 Year","MISSISSIPPI","1","2015"
"ALABAMA","7 Months to Under 1 Year","MISSOURI","1","2015"
"ALABAMA","7 Months to Under 1 Year","MONTANA","0","2015"
"ALABAMA","7 Months to Under 1 Year","NEBRASKA","0","2015"
"ALABAMA","7 Months to Under 1 Year","NEVADA","1","2015"
"ALABAMA","7 Months to Under 1 Year","NEW HAMPSHIRE","0","2015"
"ALABAMA","7 Months to Under 1 Year","NEW JERSEY","1","2015"
"ALABAMA","7 Months to Under 1 Year","NEW MEXICO","0","2015"
"ALABAMA","7 Months to Under 1 Year","NEW YORK","3","2015"
"ALABAMA","7 Months to Under 1 Year","NORTH CAROLINA","2","2015"
"ALABAMA","7 Months to Under 1 Year","NORTH DAKOTA","0","2015"
"ALABAMA","7 Months to Under 1 Year","OHIO","1","2015"
"ALABAMA","7 Months to Under 1 Year","OKLAHOMA","0","2015"
"ALABAMA","7 Months to Under 1 Year","OREGON","0","2015"
"ALABAMA","7 Months to Under 1 Year","PENNSYLVANIA","1","2015"
"ALABAMA","7 Months to Under 1 Year","PUERTO RICO","0","2015"
"ALABAMA","7 Months to Under 1 Year","RHODE ISLAND","0","2015"
"ALABAMA","7 Months to Under 1 Year","SOUTH CAROLINA","0","2015"
"ALABAMA","7 Months to Under 1 Year","SOUTH DAKOTA","0","2015"
"ALABAMA","7 Months to Under 1 Year","TENNESSEE","4","2015"
"ALABAMA","7 Months to Under 1 Year","TEXAS","1","2015"
"ALABAMA","7 Months to Under 1 Year","US VIRGIN ISLANDS","0","2015"
"ALABAMA","7 Months to Under 1 Year","UTAH","0","2015"
"ALABAMA","7 Months to Under 1 Year","VERMONT","0","2015"
"ALABAMA","7 Months to Under 1 Year","VIRGINIA","0","2015"
"ALABAMA","7 Months to Under 1 Year","WASHINGTON","0","2015"
"ALABAMA","7 Months to Under 1 Year","WEST VIRGINIA","0","2015"
"ALABAMA","7 Months to Under 1 Year","WISCONSIN","3","2015"
"ALABAMA","7 Months to Under 1 Year","WYOMING","0","2015"
"ALABAMA","7 Months to Under 1 Year","TOTAL","236","2015"
"ALABAMA","1 Year to Under 2 Years","ALABAMA","348","2015"
"ALABAMA","1 Year to Under 2 Years","ALASKA","0","2015"
"ALABAMA","1 Year to Under 2 Years","ARIZONA","1","2015"
"ALABAMA","1 Year to Under 2 Years","ARKANSAS","1","2015"
"ALABAMA","1 Year to Under 2 Years","CALIFORNIA","5","2015"
"ALABAMA","1 Year to Under 2 Years","COLORADO","1","2015"
"ALABAMA","1 Year to Under 2 Years","CONNECTICUT","0","2015"
"ALABAMA","1 Year to Under 2 Years","DELAWARE","0","2015"
"ALABAMA","1 Year to Under 2 Years","DISTRICT OF COLUMBIA","2","2015"
"ALABAMA","1 Year to Under 2 Years","FLORIDA","16","2015"
"ALABAMA","1 Year to Under 2 Years","GEORGIA","18","2015"
"ALABAMA","1 Year to Under 2 Years","GUAM & NORTHERN MARIANA ISLANDS","0","2015"
"ALABAMA","1 Year to Under 2 Years","HAWAII","0","2015"
"ALABAMA","1 Year to Under 2 Years","IDAHO","0","2015"
"ALABAMA","1 Year to Under 2 Years","ILLINOIS","4","2015"
"ALABAMA","1 Year to Under 2 Years","INDIANA","0","2015"
"ALABAMA","1 Year to Under 2 Years","IOWA","1","2015"
"ALABAMA","1 Year to Under 2 Years","KANSAS","0","2015"
"ALABAMA","1 Year to Under 2 Years","KENTUCKY","0","2015"
"ALABAMA","1 Year to Under 2 Years","LOUISIANA","5","2015"
"ALABAMA","1 Year to Under 2 Years","MAINE","0","2015"
"ALABAMA","1 Year to Under 2 Years","MARYLAND","6","2015"
"ALABAMA","1 Year to Under 2 Years","MASSACHUSETTS","0","2015"
"ALABAMA","1 Year to Under 2 Years","MICHIGAN","4","2015"
"ALABAMA","1 Year to Under 2 Years","MINNESOTA","0","2015"
"ALABAMA","1 Year to Under 2 Years","MISSISSIPPI","2","2015"
"ALABAMA","1 Year to Under 2 Years","MISSOURI","1","2015"
"ALABAMA","1 Year to Under 2 Years","MONTANA","1","2015"
"ALABAMA","1 Year to Under 2 Years","NEBRASKA","2","2015"
"ALABAMA","1 Year to Under 2 Years","NEVADA","1","2015"
"ALABAMA","1 Year to Under 2 Years","NEW HAMPSHIRE","0","2015"
"ALABAMA","1 Year to Under 2 Years","NEW JERSEY","2","2015"
"ALABAMA","1 Year to Under 2 Years","NEW MEXICO","0","2015"
"ALABAMA","1 Year to Under 2 Years","NEW YORK","3","2015"
"ALABAMA","1 Year to Under 2 Years","NORTH CAROLINA","2","2015"
"ALABAMA","1 Year to Under 2 Years","NORTH DAKOTA","1","2015"
"ALABAMA","1 Year to Under 2 Years","OHIO","2","2015"
"ALABAMA","1 Year to Under 2 Years","OKLAHOMA","0","2015"
"ALABAMA","1 Year to Under 2 Years","OREGON","0","2015"
"ALABAMA","1 Year to Under 2 Years","PENNSYLVANIA","1","2015"
"ALABAMA","1 Year to Under 2 Years","PUERTO RICO","0","2015"
"ALABAMA","1 Year to Under 2 Years","RHODE ISLAND","0","2015"
"ALABAMA","1 Year to Under 2 Years","SOUTH CAROLINA","3","2015"
"ALABAMA","1 Year to Under 2 Years","SOUTH DAKOTA","0","2015"
"ALABAMA","1 Year to Under 2 Years","TENNESSEE","10","2015"
"ALABAMA","1 Year to Under 2 Years","TEXAS","4","2015"
"ALABAMA","1 Year to Under 2 Years","US VIRGIN ISLANDS","0","2015"
"ALABAMA","1 Year to Under 2 Years","UTAH","0","2015"
"ALABAMA","1 Year to Under 2 Years","VERMONT","0","2015"
"ALABAMA","1 Year to Under 2 Years","VIRGINIA","3","2015"
"ALABAMA","1 Year to Under 2 Years","WASHINGTON","0","2015"
"ALABAMA","1 Year to Under 2 Years","WEST VIRGINIA","0","2015"
"ALABAMA","1 Year to Under 2 Years","WISCONSIN","3","2015"
"ALABAMA","1 Year to Under 2 Years","WYOMING","0","2015"
"ALABAMA","1 Year to Under 2 Years","TOTAL","453","2015"
"ALABAMA","2 Years to Under 3 Years","ALABAMA","266","2015"
"ALABAMA","2 Years to Under 3 Years","ALASKA","0","2015"
"ALABAMA","2 Years to Under 3 Years","ARIZONA","0","2015"
"ALABAMA","2 Years to Under 3 Years","ARKANSAS","0","2015"
"ALABAMA","2 Years to Under 3 Years","CALIFORNIA","6","2015"
"ALABAMA","2 Years to Under 3 Years","COLORADO","2","2015"
"ALABAMA","2 Years to Under 3 Years","CONNECTICUT","0","2015"
"ALABAMA","2 Years to Under 3 Years","DELAWARE","1","2015"
"ALABAMA","2 Years to Under 3 Years","DISTRICT OF COLUMBIA","0","2015"
"ALABAMA","2 Years to Under 3 Years","FLORIDA","20","2015"
"ALABAMA","2 Years to Under 3 Years","GEORGIA","24","2015"
"ALABAMA","2 Years to Under 3 Years","GUAM & NORTHERN MARIANA ISLANDS","0","2015"
"ALABAMA","2 Years to Under 3 Years","HAWAII","0","2015"
"ALABAMA","2 Years to Under 3 Years","IDAHO","1","2015"
"ALABAMA","2 Years to Under 3 Years","ILLINOIS","5","2015"
"ALABAMA","2 Years to Under 3 Years","INDIANA","4","2015"
"ALABAMA","2 Years to Under 3 Years","IOWA","0","2015"
"ALABAMA","2 Years to Under 3 Years","KANSAS","2","2015"
"ALABAMA","2 Years to Under 3 Years","KENTUCKY","1","2015"
"ALABAMA","2 Years to Under 3 Years","LOUISIANA","3","2015"
"ALABAMA","2 Years to Under 3 Years","MAINE","0","2015"
